frequency	# of variants
8.4462312916e-08	21.4334694898
8.86854285618e-08	22.476675725
9.31196999899e-08	23.6957028925
9.77756849894e-08	25.0596236356
1.02664469239e-07	26.6319105234
1.07797692701e-07	28.4700881588
1.13187577336e-07	30.4749285286
1.18846956203e-07	32.8620934658
1.24789304013e-07	35.5953563424
1.31028769213e-07	38.9128308092
1.37580207674e-07	43.2872801324
1.44459218058e-07	48.0708376479
1.51682178961e-07	54.40275713
1.59266287909e-07	62.4089866226
1.67229602304e-07	72.153869277
1.75591082419e-07	87.1836188411
1.8437063654e-07	105.347736676
1.93589168367e-07	131.727799238
2.03268626786e-07	176.816910891
2.13432058125e-07	242.561338568
2.24103661031e-07	411.344728331
2.35308844083e-07	969.841161046
2.47074286287e-07	4144.24001483
2.59428000601e-07	11915836.7728
2.72399400631e-07	44411228.5128
2.86019370663e-07	7792.62988031
3.00320339196e-07	776.837648514
3.15336356156e-07	317.619425471
3.31103173964e-07	199.492680923
3.47658332662e-07	139.200393145
3.65041249295e-07	101.68408627
3.8329331176e-07	75.3529410582
4.02457977348e-07	55.7214579634
4.22580876215e-07	41.2028630476
4.43709920026e-07	32.0096700862
4.65895416027e-07	25.6397313659
4.89190186828e-07	20.9027611919
5.1364969617e-07	17.204819401
5.39332180978e-07	14.2155345442
5.66298790027e-07	11.9978787175
5.94613729528e-07	10.1974619832
6.24344416005e-07	8.7684580684
6.55561636805e-07	7.54591056405
6.88339718645e-07	6.5790144541
7.22756704578e-07	5.75940811977
7.58894539806e-07	5.06940142227
7.96839266797e-07	4.50930614094
8.36681230137e-07	3.9978422462
8.78515291643e-07	3.58209525296
9.22441056226e-07	3.20281146954
9.68563109037e-07	2.90285825578
1.01699126449e-06	2.62958288865
1.06784082771e-06	2.38752885986
1.1212328691e-06	2.18181035345
1.17729451255e-06	2.00735702994
1.23615923818e-06	1.84886652359
1.29796720009e-06	1.71384712014
1.3628655601e-06	1.59639965926
1.4310088381e-06	1.49433087726
1.50255928e-06	1.4018214435
1.57768724401e-06	1.31699432389
1.65657160621e-06	1.25389845458
1.73940018652e-06	1.19352244342
1.82637019584e-06	1.14667880615
1.91768870563e-06	1.10110264442
2.01357314092e-06	1.06968875089
2.11425179796e-06	1.04693770519
2.21996438786e-06	1.03017076514
2.33096260725e-06	1.01601839674
2.44751073761e-06	1.01989253779
2.5698862745e-06	1.03065977551
2.69838058822e-06	1.04703214143
2.83329961763e-06	1.08716263804
2.97496459851e-06	1.13293958735
3.12371282844e-06	1.21218697722
3.27989846986e-06	1.3102920196
3.44389339335e-06	1.45333521606
3.61608806302e-06	1.64510846749
3.79689246617e-06	1.91307560485
3.98673708948e-06	2.34113433322
4.18607394395e-06	3.06048827212
4.39537764115e-06	4.12773927474
4.61514652321e-06	6.28803866874
4.84590384937e-06	12.0048308319
5.08819904184e-06	39.5201404793
5.34260899393e-06	2208843.56643
5.60973944363e-06	3540552.60493
5.89022641581e-06	41.6201584505
6.1847377366e-06	8.84040717611
6.49397462343e-06	4.9821385278
6.8186733546e-06	2.83241314915
7.15960702233e-06	1.78279688845
7.51758737345e-06	1.21383682224
7.89346674212e-06	0.886553769737
8.28814007923e-06	0.678440557916
8.70254708319e-06	0.542542791048
9.13767443735e-06	0.446874180214
9.59455815921e-06	0.383440352814
1.00742860672e-05	0.336293170798
1.05780003705e-05	0.303408586376
1.11069003891e-05	0.28197012076
1.16622454085e-05	0.268883354946
1.22453576789e-05	0.264772093837
1.28576255629e-05	0.269382118813
1.3500506841e-05	0.283236173748
1.41755321831e-05	0.314021756632
1.48843087922e-05	0.360094963563
1.56285242318e-05	0.445379228982
1.64099504434e-05	0.598050787317
1.72304479656e-05	0.88820600546
1.80919703639e-05	1.66247899798
1.89965688821e-05	4.61195844944
1.99463973262e-05	569179.953091
2.09437171925e-05	841415.667062
2.19909030521e-05	4.28032615429
2.30904482047e-05	1.52123675409
2.4244970615e-05	0.788063053593
2.54572191457e-05	0.49256172029
2.6730080103e-05	0.358861494361
2.80665841082e-05	0.289355637763
2.94699133136e-05	0.255215801299
3.09434089792e-05	0.244717754771
3.24905794282e-05	0.254280087347
3.41151083996e-05	0.291639893869
3.58208638196e-05	0.368603877114
3.76119070106e-05	0.550529890834
3.94925023611e-05	0.994644976553
4.14671274792e-05	3.05139496814
4.35404838531e-05	423411.56904
4.57175080458e-05	115776.44589
4.80033834481e-05	2.80711124156
5.04035526205e-05	1.0589858481
5.29237302515e-05	0.656400806858
5.55699167641e-05	0.536452532849
5.83484126023e-05	0.52727926781
6.12658332324e-05	0.650614478963
6.4329124894e-05	1.01109425032
6.75455811387e-05	2.5031062012
7.09228601956e-05	11.4260760095
7.44690032054e-05	175329.562299
7.81924533657e-05	40.1925640334
8.2102076034e-05	1298.60441175
8.62071798357e-05	129702.974378
9.05175388274e-05	3.81911442527
9.50434157688e-05	0.666873258405
9.97955865572e-05	0.240349986116
0.000104785365885	0.124470639469
0.000110024634179	0.0867630493449
0.000115525865888	0.0841610492951
0.000121302159183	0.140370569236
0.000127367267142	32722.3004507
0.000133735630499	130344.199025
0.000140422412024	0.0487668778016
0.000147443532625	0.0144955664268
0.000154815709256	0.00680186306094
0.000162556494719	0.00437007916165
0.000170684319455	0.00371732538836
0.000179218535428	0.00437080644516
0.000188179462199	0.00873120634614
0.000197588435309	92299.4060484
0.000207467857075	6245.11571244
0.000217841249928	0.00531493348207
0.000228733312425	0.00201836974692
0.000240169978046	0.00138404376728
0.000252178476948	0.00149366488803
0.000264787400796	0.00295747934034
0.000278026770836	64858.6047214
0.000291928109377	4147.74096665
0.000306524514846	0.00237842163149
0.000321850740589	0.00111570101128
0.000337943277618	0.00105202069284
0.000354840441499	0.00201283200184
0.000372582463574	40644.2468932
0.000391211586753	8706.23694187
0.00041077216609	0.00216022213231
0.000431310774395	0.00131465009121
0.000452876313115	0.00208597145054
0.00047552012877	20393.1608487
0.000499296135209	14186.6177002
0.000524260941969	0.00247406349685
0.000550473989068	0.00226232174564
0.000577997688521	10278.2794134
0.000606897572947	17199.6081688
0.000637242451594	0.00148679056944
0.000669104574174	0.00126790315175
0.000702559802883	5888.45081866
0.000737687793027	19208.8737127
0.000774572182678	0.00082686094822
0.000813300791812	0.000721183148995
0.000853965831403	4310.83600147
0.000896664122973	17809.7200915
0.000941497329122	0.000490259319329
0.000988572195578	0.000449771500825
0.00103800080536	8662.93126972
0.00108990084562	9554.76001292
0.00114439588791	0.000862735110383
0.0012016156823	3451.45581758
0.00126169646642	11094.2924567
0.00132478128974	0.0011786095579
0.00139102035422	4658.08720018
0.00146057137193	7241.52092715
0.00153359994053	3899.14702448
0.00161027993756	619.077677697
0.00169079393444	10363.9616293
0.00177533363116	0.000442895075465
0.00186410031272	4211.08914955
0.00195730532835	7513.30024529
0.00205517059477	8.07583056458e-05
0.00215792912451	5945.26962858
0.00226582558073	5042.86054883
0.00237911685977	8.71769121061e-05
0.00249807270276	7742.7432729
0.0026229763379	1371.74264149
0.00275412515479	2945.62770049
0.00289183141253	6011.07327384
0.00303642298316	98.4041256938
0.00318824413231	6079.16617789
0.00334765633893	936.991669146
0.00351503915588	4583.60245322
0.00369079111367	2554.78605111
0.00387533066935	2645.93422329
0.00406909720282	3525.7397594
0.00427255206296	2369.34880447
0.00448617966611	3397.77780933
0.00471048864942	1989.96784834
0.00494601308189	3434.41516366
0.00519331373598	1926.98821285
0.00545297942278	2705.5431162
0.00572562839392	2407.70431057
0.00601190981362	2038.98666458
0.0063125053043	2340.24296922
0.00662813056951	2284.881005
0.00695953709799	2264.16421028
0.00730751395289	1892.51963181
0.00767288965053	2356.2341835
0.00805653413306	1792.92859199
0.00845936083971	2018.67994249
0.0088823288817	1760.33454209
0.00932644532578	1916.7151289
0.00979276759207	1737.7610027
0.0102824059717	-7.99431982107e-08
